school_name,group_id,xuanke_req,is_special,group_name,min_score,subject,source
景德镇艺术职业大学,01,不限,否,景德镇艺术职业大学01专业组(不限),478,历史,eol.cn 征求志愿
江西财经大学现代经济管理学院,02,不限,否,江西财经大学现代经济管理学院02专业组(不限),512,历史,eol.cn 征求志愿
青岛滨海学院,01,不限,否,青岛滨海学院01专业组(不限),489,历史,eol.cn 征求志愿
烟台南山学院,01,不限,否,烟台南山学院01专业组(不限),503,历史,eol.cn 征求志愿
山东英才学院,01,不限,否,山东英才学院01专业组(不限),479,历史,eol.cn 征求志愿
青岛恒星科技学院,01,不限,否,青岛恒星科技学院01专业组(不限),484,历史,eol.cn 征求志愿
泰山科技学院,01,不限,否,泰山科技学院01专业组(不限),482,历史,eol.cn 征求志愿
青岛电影学院,01,不限,否,青岛电影学院01专业组(不限),479,历史,eol.cn 征求志愿
北京城市学院,01,不限,否,北京城市学院01专业组(不限),478,历史,eol.cn 征求志愿
首都师范大学科德学院,01,不限,否,首都师范大学科德学院01专业组(不限),478,历史,eol.cn 征求志愿
北京金融科技学院,01,不限,否,北京金融科技学院01专业组(不限),478,历史,eol.cn 征求志愿
北京邮电大学世纪学院,01,不限,否,北京邮电大学世纪学院01专业组(不限),502,历史,eol.cn 征求志愿
北京工业大学耿丹学院,01,不限,否,北京工业大学耿丹学院01专业组(不限),479,历史,eol.cn 征求志愿
北京第二外国语学院中瑞酒店管理学院,01,不限,否,北京第二外国语学院中瑞酒店管理学院01专业组(不限),478,历史,eol.cn 征求志愿
天津天狮学院,01,不限,否,天津天狮学院01专业组(不限),478,历史,eol.cn 征求志愿
天津传媒学院,01,不限,否,天津传媒学院01专业组(不限),482,历史,eol.cn 征求志愿
天津商业大学宝德学院,01,不限,否,天津商业大学宝德学院01专业组(不限),486,历史,eol.cn 征求志愿
天津仁爱学院,01,不限,否,天津仁爱学院01专业组(不限),478,历史,eol.cn 征求志愿
河北传媒学院,01,不限,否,河北传媒学院01专业组(不限),478,历史,eol.cn 征求志愿
河北科技学院,01,不限,否,河北科技学院01专业组(不限),487,历史,eol.cn 征求志愿
河北外国语学院,01,不限,否,河北外国语学院01专业组(不限),478,历史,eol.cn 征求志愿
华北理工大学轻工学院,01,不限,否,华北理工大学轻工学院01专业组(不限),502,历史,eol.cn 征求志愿
河北地质大学华信学院,01,不限,否,河北地质大学华信学院01专业组(不限),496,历史,eol.cn 征求志愿
保定理工学院,01,不限,否,保定理工学院01专业组(不限),506,历史,eol.cn 征求志愿
燕京理工学院,01,不限,否,燕京理工学院01专业组(不限),487,历史,eol.cn 征求志愿
沧州交通学院,01,不限,否,沧州交通学院01专业组(不限),482,历史,eol.cn 征求志愿
山西应用科技学院,01,不限,否,山西应用科技学院01专业组(不限),503,历史,eol.cn 征求志愿
晋中信息学院,02,生物,否,晋中信息学院02专业组(生物),491,历史,eol.cn 征求志愿
山西晋中理工学院,01,不限,否,山西晋中理工学院01专业组(不限),499,历史,eol.cn 征求志愿
辽宁对外经贸学院,01,不限,否,辽宁对外经贸学院01专业组(不限),478,历史,eol.cn 征求志愿
大连理工大学城市学院,01,不限,否,大连理工大学城市学院01专业组(不限),482,历史,eol.cn 征求志愿
大连科技学院,01,不限,否,大连科技学院01专业组(不限),480,历史,eol.cn 征求志愿
沈阳城市建设学院,01,不限,否,沈阳城市建设学院01专业组(不限),478,历史,eol.cn 征求志愿
大连医科大学中山学院,01,不限,否,大连医科大学中山学院01专业组(不限),480,历史,eol.cn 征求志愿
大连财经学院,01,不限,否,大连财经学院01专业组(不限),487,历史,eol.cn 征求志愿
沈阳城市学院,01,不限,否,沈阳城市学院01专业组(不限),478,历史,eol.cn 征求志愿
吉林外国语大学,01,不限,是,吉林外国语大学01专业组(不限)(中外合作办学),478,历史,eol.cn 征求志愿
长春光华学院,01,不限,否,长春光华学院01专业组(不限),495,历史,eol.cn 征求志愿
长春工业大学人文信息学院,01,不限,否,长春工业大学人文信息学院01专业组(不限),482,历史,eol.cn 征求志愿
长春电子科技学院,01,不限,否,长春电子科技学院01专业组(不限),501,历史,eol.cn 征求志愿
长春财经学院,01,不限,否,长春财经学院01专业组(不限),478,历史,eol.cn 征求志愿
吉林建筑科技学院,01,不限,否,吉林建筑科技学院01专业组(不限),483,历史,eol.cn 征求志愿
长春科技学院,01,不限,否,长春科技学院01专业组(不限),478,历史,eol.cn 征求志愿
吉林师范大学博达学院,01,不限,否,吉林师范大学博达学院01专业组(不限),478,历史,eol.cn 征求志愿
长春大学旅游学院,01,不限,否,长春大学旅游学院01专业组(不限),478,历史,eol.cn 征求志愿
长春人文学院,01,不限,否,长春人文学院01专业组(不限),478,历史,eol.cn 征求志愿
黑龙江东方学院,01,不限,否,黑龙江东方学院01专业组(不限),478,历史,eol.cn 征求志愿
黑龙江财经学院,01,不限,否,黑龙江财经学院01专业组(不限),478,历史,eol.cn 征求志愿
哈尔滨石油学院,01,不限,否,哈尔滨石油学院01专业组(不限),478,历史,eol.cn 征求志愿
哈尔滨华德学院,01,不限,否,哈尔滨华德学院01专业组(不限),478,历史,eol.cn 征求志愿
郑州西亚斯学院,01,不限,是,郑州西亚斯学院01专业组(不限)(中外合作办学),478,历史,eol.cn 征求志愿
武汉东湖学院,01,不限,否,武汉东湖学院01专业组(不限),478,历史,eol.cn 征求志愿
汉口学院,01,不限,否,汉口学院01专业组(不限),478,历史,eol.cn 征求志愿
武汉晴川学院,01,不限,否,武汉晴川学院01专业组(不限),503,历史,eol.cn 征求志愿
湖北大学知行学院,02,不限,否,湖北大学知行学院02专业组(不限),482,历史,eol.cn 征求志愿
武汉工程大学邮电与信息工程学院,01,不限,否,武汉工程大学邮电与信息工程学院01专业组(不限),492,历史,eol.cn 征求志愿
武汉纺织大学外经贸学院,01,不限,否,武汉纺织大学外经贸学院01专业组(不限),487,历史,eol.cn 征求志愿
武昌工学院,01,不限,否,武昌工学院01专业组(不限),483,历史,eol.cn 征求志愿
武汉体育学院体育科技学院,01,不限,否,武汉体育学院体育科技学院01专业组(不限),478,历史,eol.cn 征求志愿
湖北文理学院理工学院,01,不限,否,湖北文理学院理工学院01专业组(不限),507,历史,eol.cn 征求志愿
武汉工程科技学院,01,不限,否,武汉工程科技学院01专业组(不限),494,历史,eol.cn 征求志愿
武汉华夏理工学院,01,不限,否,武汉华夏理工学院01专业组(不限),483,历史,eol.cn 征求志愿
武汉传媒学院,01,不限,否,武汉传媒学院01专业组(不限),480,历史,eol.cn 征求志愿
武汉设计工程学院,01,不限,否,武汉设计工程学院01专业组(不限),480,历史,eol.cn 征求志愿
长沙医学院,01,不限,否,长沙医学院01专业组(不限),482,历史,eol.cn 征求志愿
湖南涉外经济学院,01,不限,否,湖南涉外经济学院01专业组(不限),489,历史,eol.cn 征求志愿
张家界学院,01,不限,否,张家界学院01专业组(不限),482,历史,eol.cn 征求志愿
广东白云学院,01,不限,否,广东白云学院01专业组(不限),484,历史,eol.cn 征求志愿
电子科技大学中山学院,01,不限,否,电子科技大学中山学院01专业组(不限),501,历史,eol.cn 征求志愿
广州城市理工学院,01,不限,否,广州城市理工学院01专业组(不限),478,历史,eol.cn 征求志愿
广州南方学院,01,不限,否,广州南方学院01专业组(不限),519,历史,eol.cn 征求志愿
广东外语外贸大学南国商学院,01,不限,否,广东外语外贸大学南国商学院01专业组(不限),479,历史,eol.cn 征求志愿
广州工商学院,01,不限,否,广州工商学院01专业组(不限),478,历史,eol.cn 征求志愿
东莞城市学院,01,不限,否,东莞城市学院01专业组(不限),481,历史,eol.cn 征求志愿
华南农业大学珠江学院,01,不限,否,华南农业大学珠江学院01专业组(不限),495,历史,eol.cn 征求志愿
广州华立学院,01,不限,否,广州华立学院01专业组(不限),478,历史,eol.cn 征求志愿
广州新华学院,01,不限,否,广州新华学院01专业组(不限),478,历史,eol.cn 征求志愿
广东理工学院,01,不限,否,广东理工学院01专业组(不限),478,历史,eol.cn 征求志愿
桂林学院,01,不限,否,桂林学院01专业组(不限),506,历史,eol.cn 征求志愿
桂林信息科技学院,01,不限,否,桂林信息科技学院01专业组(不限),478,历史,eol.cn 征求志愿
广西外国语学院,01,不限,否,广西外国语学院01专业组(不限),478,历史,eol.cn 征求志愿
海口经济学院,01,不限,否,海口经济学院01专业组(不限),478,历史,eol.cn 征求志愿
三亚学院,01,不限,是,三亚学院01专业组(不限)(中外合作办学),478,历史,eol.cn 征求志愿
海南科技职业大学,01,不限,否,海南科技职业大学01专业组(不限),478,历史,eol.cn 征求志愿
电子科技大学成都学院,01,不限,否,电子科技大学成都学院01专业组(不限),504,历史,eol.cn 征求志愿
四川传媒学院,01,不限,否,四川传媒学院01专业组(不限),484,历史,eol.cn 征求志愿
成都银杏酒店管理学院,01,不限,否,成都银杏酒店管理学院01专业组(不限),502,历史,eol.cn 征求志愿
四川工商学院,01,不限,否,四川工商学院01专业组(不限),494,历史,eol.cn 征求志愿
成都外国语学院,01,不限,否,成都外国语学院01专业组(不限),491,历史,eol.cn 征求志愿
四川文化艺术学院,01,不限,否,四川文化艺术学院01专业组(不限),478,历史,eol.cn 征求志愿
四川电影电视学院,01,不限,否,四川电影电视学院01专业组(不限),482,历史,eol.cn 征求志愿
吉利学院,01,不限,否,吉利学院01专业组(不限),478,历史,eol.cn 征求志愿
重庆城市科技学院,01,不限,否,重庆城市科技学院01专业组(不限),498,历史,eol.cn 征求志愿
重庆对外经贸学院,01,不限,否,重庆对外经贸学院01专业组(不限),496,历史,eol.cn 征求志愿
重庆移通学院,01,不限,否,重庆移通学院01专业组(不限),491,历史,eol.cn 征求志愿
重庆人文科技学院,01,不限,否,重庆人文科技学院01专业组(不限),504,历史,eol.cn 征求志愿
贵阳人文科技学院,01,不限,否,贵阳人文科技学院01专业组(不限),483,历史,eol.cn 征求志愿
贵阳信息科技学院,01,不限,否,贵阳信息科技学院01专业组(不限),478,历史,eol.cn 征求志愿
滇池学院,01,不限,否,滇池学院01专业组(不限),479,历史,eol.cn 征求志愿
丽江文化旅游学院,01,不限,否,丽江文化旅游学院01专业组(不限),478,历史,eol.cn 征求志愿
昆明城市学院,01,不限,否,昆明城市学院01专业组(不限),478,历史,eol.cn 征求志愿
昆明医科大学海源学院,01,不限,否,昆明医科大学海源学院01专业组(不限),488,历史,eol.cn 征求志愿
昆明传媒学院,01,不限,否,昆明传媒学院01专业组(不限),479,历史,eol.cn 征求志愿
昆明文理学院,01,不限,否,昆明文理学院01专业组(不限),482,历史,eol.cn 征求志愿
昆明理工大学津桥学院,01,不限,否,昆明理工大学津桥学院01专业组(不限),478,历史,eol.cn 征求志愿
云南经济管理学院,01,不限,否,云南经济管理学院01专业组(不限),478,历史,eol.cn 征求志愿
西安培华学院,01,不限,否,西安培华学院01专业组(不限),501,历史,eol.cn 征求志愿
西安欧亚学院,01,不限,否,西安欧亚学院01专业组(不限),478,历史,eol.cn 征求志愿
西安外事学院,01,不限,否,西安外事学院01专业组(不限),480,历史,eol.cn 征求志愿
西安翻译学院,01,不限,否,西安翻译学院01专业组(不限),480,历史,eol.cn 征求志愿
西安思源学院,01,不限,否,西安思源学院01专业组(不限),486,历史,eol.cn 征求志愿
陕西国际商贸学院,01,不限,否,陕西国际商贸学院01专业组(不限),478,历史,eol.cn 征求志愿
西安财经大学行知学院,01,不限,否,西安财经大学行知学院01专业组(不限),489,历史,eol.cn 征求志愿
西安工商学院,01,不限,否,西安工商学院01专业组(不限),481,历史,eol.cn 征求志愿
西安科技大学高新学院,01,不限,否,西安科技大学高新学院01专业组(不限),490,历史,eol.cn 征求志愿
兰州工商学院,01,不限,否,兰州工商学院01专业组(不限),480,历史,eol.cn 征求志愿
宁夏理工学院,01,不限,否,宁夏理工学院01专业组(不限),481,历史,eol.cn 征求志愿
银川能源学院,01,不限,否,银川能源学院01专业组(不限),478,历史,eol.cn 征求志愿
